ORDER_ID,ORDER_DATE,ORDER_TIME,ORDER_PRICE,PEOPLE,TABLE_NO,STATUS,SHIFT,EMPLOYEE_ID,KITCHEN_STAFF,Status
45,1/1/2015,5:55:48 PM,226,3,5,Dine in with Reservation,Night,24,10,Completed
46,1/1/2015,6:25:51 PM,290,3,4,Dine in with Reservation,Night,23,9,Completed
47,1/1/2015,6:26:34 PM,164,2,1,Dine in with Reservation,Night,24,9,Completed
48,1/1/2015,6:26:42 PM,351,4,6,Dine in with Reservation,Night,23,16,Completed
49,1/1/2015,6:33:00 PM,101,,,Take away,Night,5,2,Completed
50,1/1/2015,6:41:01 PM,128,,,Take away,Night,5,10,Completed
51,1/1/2015,6:48:28 PM,191,,,Take away,Night,5,9,Completed
52,1/1/2015,6:53:02 PM,288,3,5,Dine in with Reservation,Night,23,9,Completed
53,1/1/2015,6:54:17 PM,138,2,2,Dine in with Reservation,Night,23,16,Completed
54,1/1/2015,7:01:45 PM,186,2,3,Dine in with Reservation,Night,23,10,Completed
55,1/1/2015,7:03:19 PM,166,2,1,Dine in with Reservation,Night,23,2,Completed
56,1/1/2015,7:07:00 PM,265,,,Take away,Night,8,10,Completed
57,1/1/2015,7:10:51 PM,80,1,2,Dine in with Reservation,Night,24,10,Completed
58,1/1/2015,7:30:40 PM,155,,,Take away,Night,8,16,Completed
59,1/1/2015,7:40:08 PM,195,3,4,Dine in with Reservation,Night,24,10,Completed
60,1/1/2015,8:05:16 PM,178,,,Take away,Night,5,9,Completed
61,1/1/2015,8:08:43 PM,188,,,Take away,Night,8,9,Completed
62,1/1/2015,8:50:16 PM,166,2,3,Dine in with Reservation,Night,24,10,Completed
63,1/1/2015,8:51:42 PM,73,1,1,Dine in with Reservation,Night,23,10,Completed
64,1/1/2015,8:52:08 PM,60,,,Take away,Night,8,9,Completed
65,1/1/2015,9:16:00 PM,261,4,7,Dine in with Reservation,Night,24,10,Completed
66,1/1/2015,9:47:55 PM,160,2,2,Dine in with Reservation,Night,23,9,Completed
67,1/1/2015,10:03:40 PM,104,1,3,Dine in with Reservation,Night,23,9,Completed
68,1/1/2015,10:07:32 PM,266,3,5,Dine in without Reservation,Night,23,2,Completed
69,1/1/2015,10:12:13 PM,104,1,1,Dine in without Reservation,Night,24,9,Completed
70,2/1/2015,11:38:51 AM,168,2,2,Dine in with Reservation,Morning,25,12,Completed
71,2/1/2015,11:40:50 AM,104,1,3,Dine in with Reservation,Morning,22,1,Completed
72,2/1/2015,11:57:25 AM,101,1,1,Dine in with Reservation,Morning,22,17,Completed
73,2/1/2015,11:58:56 AM,64,,,Take away,Morning,7,17,Completed
74,2/1/2015,12:01:12 PM,360,4,6,Dine in with Reservation,Morning,25,17,Completed
75,2/1/2015,12:10:15 PM,266,,,Take away,Morning,7,12,Completed
76,2/1/2015,12:21:17 PM,351,4,7,Dine in with Reservation,Morning,25,1,Completed
77,2/1/2015,12:22:46 PM,150,2,2,Dine in without Reservation,Morning,22,11,Completed
78,2/1/2015,12:28:14 PM,665,6,8,Dine in with Reservation,Morning,25,17,Completed
79,2/1/2015,12:29:11 PM,261,3,4,Dine in with Reservation,Morning,22,18,Completed
80,2/1/2015,12:35:38 PM,133,,,Take away,Morning,7,1,Completed
81,2/1/2015,12:40:01 PM,104,1,3,Dine in without Reservation,Morning,22,17,Completed
82,2/1/2015,12:45:51 PM,328,,,Take away,Morning,6,12,Completed
83,2/1/2015,12:53:27 PM,64,,,Take away,Morning,7,17,Completed
84,2/1/2015,1:13:41 PM,76,1,1,Dine in with Reservation,Morning,22,11,Completed
85,2/1/2015,1:34:49 PM,324,4,6,Dine in with Reservation,Morning,22,17,Completed
86,2/1/2015,1:40:31 PM,83,,,Take away,Morning,6,11,Completed
87,2/1/2015,2:01:02 PM,326,4,7,Dine in without Reservation,Morning,25,17,Completed
88,2/1/2015,2:10:08 PM,93,1,2,Dine in with Reservation,Morning,25,18,Completed
89,2/1/2015,2:30:19 PM,208,,,Take away,Morning,6,12,Completed
90,2/1/2015,3:08:48 PM,165,,,Take away,Morning,7,12,Completed
91,2/1/2015,3:14:43 PM,320,3,5,Dine in with Reservation,Morning,22,18,Completed
92,2/1/2015,3:17:02 PM,761,,,Take away,Morning,6,12,Completed
93,2/1/2015,3:29:31 PM,81,1,3,Dine in without Reservation,Morning,25,17,Completed
94,2/1/2015,4:17:16 PM,144,2,1,Dine in with Reservation,Morning,22,11,Completed
95,2/1/2015,4:18:04 PM,164,2,2,Dine in without Reservation,Morning,22,17,Completed
96,2/1/2015,4:21:20 PM,60,,,Take away,Morning,6,18,Completed
97,2/1/2015,4:45:33 PM,60,,,Take away,Morning,7,11,Completed
98,2/1/2015,5:18:18 PM,205,,,Take away,Night,5,16,Completed
99,2/1/2015,5:45:42 PM,104,1,3,Dine in with Reservation,Night,23,9,Completed
100,2/1/2015,5:46:17 PM,83,1,1,Dine in with Reservation,Night,23,2,Completed
101,2/1/2015,5:51:33 PM,366,4,6,Dine in with Reservation,Night,24,10,Completed
102,2/1/2015,5:54:04 PM,126,,,Take away,Night,5,9,Completed
103,2/1/2015,6:02:09 PM,63,,,Take away,Night,5,10,Completed
104,2/1/2015,6:02:12 PM,353,,,Take away,Night,8,16,Completed
105,2/1/2015,6:12:01 PM,264,3,4,Dine in without Reservation,Night,24,10,Completed
106,2/1/2015,6:12:13 PM,205,,,Take away,Night,8,10,Completed
107,2/1/2015,6:25:09 PM,391,4,7,Dine in with Reservation,Night,23,9,Completed
108,2/1/2015,6:25:25 PM,289,3,5,Dine in with Reservation,Night,23,2,Completed
109,2/1/2015,6:27:50 PM,373,,,Take away,Night,5,9,Completed
110,2/1/2015,6:36:19 PM,329,4,6,Dine in without Reservation,Night,23,16,Completed
111,2/1/2015,6:38:01 PM,343,4,7,Dine in with Reservation,Night,24,10,Completed
112,2/1/2015,6:41:40 PM,49,,,Take away,Night,8,9,Completed
113,2/1/2015,6:50:21 PM,289,3,4,Dine in with Reservation,Night,23,9,Completed
114,2/1/2015,6:59:32 PM,138,,,Take away,Night,8,9,Completed
115,2/1/2015,7:05:17 PM,246,,,Take away,Night,8,10,Completed
116,2/1/2015,7:18:49 PM,93,,,Take away,Night,8,2,Completed
117,2/1/2015,7:23:02 PM,184,2,2,Dine in with Reservation,Night,23,2,Completed
118,2/1/2015,7:26:59 PM,164,2,3,Dine in with Reservation,Night,23,10,Completed
119,2/1/2015,7:32:29 PM,74,1,1,Dine in with Reservation,Night,23,9,Completed
120,2/1/2015,7:35:07 PM,214,,,Take away,Night,8,9,Completed
121,2/1/2015,7:38:48 PM,379,,,Take away,Night,8,16,Completed
122,2/1/2015,7:50:19 PM,83,1,2,Dine in with Reservation,Night,24,2,Completed
123,2/1/2015,8:12:09 PM,60,,,Take away,Night,5,9,Completed
124,2/1/2015,8:12:34 PM,329,,,Take away,Night,5,2,Completed
125,2/1/2015,8:31:06 PM,128,,,Take away,Night,8,10,Completed
126,2/1/2015,8:53:42 PM,101,1,3,Dine in with Reservation,Night,24,16,Completed
127,2/1/2015,8:58:23 PM,63,,,Take away,Night,5,10,Completed
128,2/1/2015,9:05:06 PM,63,,,Take away,Night,5,2,Completed
129,2/1/2015,9:13:02 PM,140,2,1,Dine in without Reservation,Night,24,10,Completed
130,2/1/2015,9:14:55 PM,299,4,6,Dine in with Reservation,Night,24,10,Completed
131,2/1/2015,9:33:10 PM,319,4,6,Dine in with Reservation,Night,23,9,Completed
132,2/1/2015,9:42:45 PM,49,,,Take away,Night,8,10,Completed
133,2/1/2015,10:00:17 PM,246,3,4,Dine in with Reservation,Night,23,9,Completed
134,2/1/2015,10:13:24 PM,226,3,5,Dine in with Reservation,Night,23,9,Completed
135,2/1/2015,10:29:34 PM,101,1,1,Dine in with Reservation,Night,23,16,Completed
136,2/1/2015,10:32:49 PM,155,2,2,Dine in with Reservation,Night,23,2,Completed
137,3/1/2015,11:34:10 AM,233,,,Take away,Morning,6,11,Completed
138,3/1/2015,11:44:50 AM,360,,,Take away,Morning,6,11,Completed
139,3/1/2015,11:57:39 AM,93,1,3,Dine in with Reservation,Morning,25,12,Completed
140,3/1/2015,12:26:44 PM,143,2,1,Dine in without Reservation,Morning,22,11,Completed
141,3/1/2015,1:16:01 PM,80,1,2,Dine in with Reservation,Morning,22,11,Completed
142,3/1/2015,1:33:59 PM,80,,,Take away,Morning,6,11,Completed
143,3/1/2015,1:41:36 PM,609,,,Take away,Morning,7,11,Completed
144,3/1/2015,1:44:28 PM,1192,,,Take away,Morning,6,18,Completed
145,3/1/2015,1:53:48 PM,60,,,Take away,Morning,7,1,Completed
146,3/1/2015,2:22:10 PM,244,,,Take away,Morning,6,12,Completed
147,3/1/2015,2:32:51 PM,128,1,3,Dine in with Reservation,Morning,22,12,Completed
148,3/1/2015,2:40:42 PM,60,,,Take away,Morning,7,17,Completed
149,3/1/2015,2:48:45 PM,80,,,Take away,Morning,6,17,Completed
150,3/1/2015,2:49:58 PM,63,1,1,Dine in with Reservation,Morning,22,11,Completed
151,3/1/2015,3:09:34 PM,166,,,Take away,Morning,7,11,Completed
152,3/1/2015,3:09:42 PM,298,,,Take away,Morning,6,11,Completed
153,3/1/2015,3:16:34 PM,80,,,Take away,Morning,6,1,Completed
154,3/1/2015,3:22:43 PM,63,1,2,Dine in with Reservation,Morning,25,17,Completed
155,3/1/2015,3:28:59 PM,346,4,7,Dine in with Reservation,Morning,22,1,Completed
156,3/1/2015,3:42:19 PM,184,2,3,Dine in without Reservation,Morning,22,11,Completed
157,3/1/2015,3:43:03 PM,348,4,6,Dine in with Reservation,Morning,25,11,Completed
158,3/1/2015,3:54:30 PM,168,2,1,Dine in with Reservation,Morning,22,11,Completed
159,3/1/2015,3:59:22 PM,174,2,2,Dine in with Reservation,Morning,25,1,Completed
160,3/1/2015,4:35:33 PM,80,1,3,Dine in with Reservation,Morning,25,11,Completed
161,3/1/2015,4:43:46 PM,263,,,Take away,Morning,7,12,Completed
162,3/1/2015,4:51:22 PM,60,1,1,Dine in with Reservation,Morning,22,17,Completed
163,3/1/2015,4:54:54 PM,223,,,Take away,Morning,6,17,Completed
164,3/1/2015,4:56:33 PM,166,2,2,Dine in with Reservation,Morning,22,17,Completed
165,3/1/2015,4:57:37 PM,83,,,Take away,Morning,7,12,Completed
166,3/1/2015,4:58:51 PM,63,1,3,Dine in with Reservation,Morning,25,12,Completed
167,3/1/2015,5:00:49 PM,249,,,Take away,Night,5,9,Completed
168,3/1/2015,5:02:27 PM,140,2,1,Dine in without Reservation,Night,23,10,Completed
169,3/1/2015,5:15:48 PM,231,3,4,Dine in with Reservation,Night,24,10,Completed
170,3/1/2015,5:21:31 PM,83,,,Take away,Night,5,16,Completed
171,3/1/2015,5:23:03 PM,80,1,2,Dine in with Reservation,Night,23,9,Completed
172,3/1/2015,5:29:24 PM,246,3,5,Dine in with Reservation,Night,23,9,Completed
173,3/1/2015,5:35:30 PM,265,3,4,Dine in with Reservation,Night,23,16,Completed
174,3/1/2015,5:37:49 PM,328,4,7,Dine in with Reservation,Night,24,10,Completed
175,3/1/2015,5:50:51 PM,104,1,3,Dine in with Reservation,Night,24,9,Completed
176,3/1/2015,5:51:57 PM,186,2,1,Dine in with Reservation,Night,23,16,Completed
177,3/1/2015,5:54:36 PM,164,,,Take away,Night,8,10,Completed
178,3/1/2015,6:15:03 PM,104,,,Take away,Night,8,2,Completed
179,3/1/2015,6:20:14 PM,224,3,5,Dine in with Reservation,Night,24,16,Completed
180,3/1/2015,6:33:34 PM,206,,,Take away,Night,8,9,Completed
181,3/1/2015,6:49:32 PM,101,,,Take away,Night,8,16,Completed
182,3/1/2015,6:50:10 PM,172,,,Take away,Night,8,2,Completed
183,3/1/2015,6:54:55 PM,246,3,4,Dine in with Reservation,Night,24,9,Completed
184,3/1/2015,6:59:05 PM,83,1,2,Dine in with Reservation,Night,24,10,Completed
185,3/1/2015,7:08:33 PM,144,,,Take away,Night,8,10,Completed
186,3/1/2015,7:36:00 PM,413,4,6,Dine in with Reservation,Night,23,9,Completed
187,3/1/2015,7:37:12 PM,196,,,Take away,Night,5,16,Completed
188,3/1/2015,8:08:39 PM,245,3,5,Dine in with Reservation,Night,24,10,Completed
189,3/1/2015,8:12:14 PM,184,2,3,Dine in with Reservation,Night,24,10,Completed
190,3/1/2015,8:14:23 PM,336,,,Take away,Night,5,16,Completed
191,3/1/2015,8:24:50 PM,188,,,Take away,Night,8,9,Completed
192,3/1/2015,8:30:08 PM,165,2,1,Dine in with Reservation,Night,24,10,Completed
193,3/1/2015,8:55:47 PM,351,3,4,Dine in with Reservation,Night,23,16,Completed
194,3/1/2015,9:21:24 PM,64,,,Take away,Night,8,9,Completed
195,3/1/2015,9:25:20 PM,104,1,2,Dine in with Reservation,Night,24,16,Completed
196,3/1/2015,9:40:14 PM,224,3,5,Dine in with Reservation,Night,24,10,Completed
197,3/1/2015,9:47:48 PM,401,,,Take away,Night,5,10,Completed
198,3/1/2015,9:55:42 PM,164,2,3,Dine in with Reservation,Night,24,10,Completed
199,3/1/2015,10:10:38 PM,84,,,Take away,Night,8,9,Completed
200,3/1/2015,10:24:05 PM,128,,,Take away,Night,5,10,Completed
201,3/1/2015,10:29:59 PM,416,,,Take away,Night,5,9,Completed
202,3/1/2015,10:50:29 PM,64,1,1,Dine in with Reservation,Night,24,10,Completed
203,4/1/2015,11:30:48 AM,335,4,7,Dine in with Reservation,Morning,25,11,Completed
204,4/1/2015,11:36:25 AM,104,1,2,Dine in with Reservation,Morning,22,12,Completed
205,4/1/2015,11:43:54 AM,210,3,4,Dine in with Reservation,Morning,22,17,Completed
206,4/1/2015,11:45:10 AM,233,3,5,Dine in with Reservation,Morning,25,17,Completed
207,4/1/2015,12:03:58 PM,104,1,3,Dine in with Reservation,Morning,25,11,Completed
208,4/1/2015,12:12:05 PM,394,5,8,Dine in with Reservation,Morning,25,12,Completed
209,4/1/2015,12:29:17 PM,104,,,Take away,Morning,6,17,Completed
210,4/1/2015,12:34:13 PM,60,,,Take away,Morning,6,18,Completed
211,4/1/2015,12:54:20 PM,49,1,1,Dine in with Reservation,Morning,22,12,Completed
212,4/1/2015,1:16:03 PM,103,,,Take away,Morning,7,11,Completed
213,4/1/2015,1:20:39 PM,90,1,2,Dine in with Reservation,Morning,22,11,Completed
214,4/1/2015,1:39:16 PM,328,4,6,Dine in with Reservation,Morning,25,12,Completed
215,4/1/2015,1:44:49 PM,60,,,Take away,Morning,6,1,Completed
216,4/1/2015,2:31:56 PM,259,,,Take away,Morning,6,18,Completed
217,4/1/2015,2:35:03 PM,140,2,3,Dine in with Reservation,Morning,25,18,Completed
218,4/1/2015,2:35:11 PM,83,1,1,Dine in with Reservation,Morning,22,17,Completed
219,4/1/2015,2:42:01 PM,359,,,Take away,Morning,6,11,Completed
220,4/1/2015,3:31:59 PM,319,,,Take away,Morning,6,1,Completed
221,4/1/2015,3:33:18 PM,235,3,4,Dine in with Reservation,Morning,22,12,Completed
222,4/1/2015,3:46:38 PM,151,2,2,Dine in with Reservation,Morning,25,17,Completed
223,4/1/2015,4:08:20 PM,55,,,Take away,Morning,6,1,Completed
224,4/1/2015,4:39:58 PM,330,4,7,Dine in with Reservation,Morning,22,12,Completed
225,4/1/2015,4:41:48 PM,251,,,Take away,Morning,6,11,Completed
226,4/1/2015,4:59:39 PM,103,1,3,Dine in with Reservation,Morning,25,1,Completed
227,4/1/2015,5:24:39 PM,164,2,1,Dine in with Reservation,Night,23,9,Completed
228,4/1/2015,5:31:24 PM,64,,,Take away,Night,5,10,Completed
229,4/1/2015,5:37:57 PM,271,3,5,Dine in with Reservation,Night,23,2,Completed
230,4/1/2015,5:58:38 PM,84,1,2,Dine in with Reservation,Night,24,16,Completed
231,4/1/2015,6:04:18 PM,226,3,4,Dine in with Reservation,Night,24,10,Completed
232,4/1/2015,6:21:59 PM,188,2,3,Dine in with Reservation,Night,23,16,Completed
233,4/1/2015,6:26:51 PM,60,,,Take away,Night,5,10,Completed
234,4/1/2015,6:36:09 PM,226,,,Take away,Night,8,9,Completed
235,4/1/2015,6:51:30 PM,84,,,Take away,Night,5,16,Completed
236,4/1/2015,7:21:04 PM,183,,,Take away,Night,8,10,Completed
237,4/1/2015,7:27:48 PM,60,1,1,Dine in with Reservation,Night,24,10,Completed
238,4/1/2015,7:45:15 PM,104,1,2,Dine in with Reservation,Night,24,10,Completed
239,4/1/2015,7:57:52 PM,188,,,Take away,Night,8,9,Completed
240,4/1/2015,8:10:24 PM,74,1,3,Dine in with Reservation,Night,23,9,Completed
241,4/1/2015,8:11:25 PM,185,2,1,Dine in with Reservation,Night,24,9,Completed
242,4/1/2015,8:15:29 PM,265,,,Take away,Night,5,10,Completed
243,4/1/2015,8:26:17 PM,165,,,Take away,Night,8,16,Completed
244,4/1/2015,8:26:22 PM,166,2,2,Dine in with Reservation,Night,24,10,Completed
245,4/1/2015,8:28:41 PM,208,,,Take away,Night,8,9,Completed
246,4/1/2015,8:30:48 PM,160,2,3,Dine in with Reservation,Night,23,9,Completed
247,4/1/2015,8:55:29 PM,210,,,Take away,Night,8,10,Completed
248,4/1/2015,8:58:19 PM,156,,,Take away,Night,8,16,Completed
249,4/1/2015,9:06:16 PM,165,2,1,Dine in with Reservation,Night,23,2,Completed
250,4/1/2015,9:07:05 PM,74,1,2,Dine in with Reservation,Night,24,9,Completed
251,4/1/2015,9:10:05 PM,80,,,Take away,Night,5,10,Completed
252,4/1/2015,10:13:15 PM,83,1,3,Dine in with Reservation,Night,23,9,Completed
253,4/1/2015,10:16:18 PM,68,1,1,Dine in with Reservation,Night,24,9,Completed
254,4/1/2015,10:22:13 PM,265,3,5,Dine in with Reservation,Night,24,10,Completed
255,5/1/2015,11:23:35 AM,335,,,Take away,Morning,6,11,Completed
256,5/1/2015,11:56:06 AM,88,1,2,Dine in with Reservation,Morning,25,12,Completed
257,5/1/2015,11:59:04 AM,208,2,3,Dine in with Reservation,Morning,22,17,Completed
258,5/1/2015,11:59:23 AM,80,,,Take away,Morning,6,12,Completed
259,5/1/2015,12:04:25 PM,76,1,3,Dine in with Reservation,Morning,25,11,Completed
260,5/1/2015,12:06:27 PM,195,2,1,Dine in with Reservation,Morning,22,18,Completed
261,5/1/2015,12:38:29 PM,68,,,Take away,Morning,6,12,Completed
262,5/1/2015,12:42:01 PM,84,1,2,Dine in without Reservation,Morning,25,17,Completed
263,5/1/2015,12:57:22 PM,104,,,Take away,Morning,6,12,Completed
264,5/1/2015,1:03:59 PM,80,1,3,Dine in with Reservation,Morning,25,12,Completed
265,5/1/2015,1:04:42 PM,370,,,Take away,Morning,6,11,Completed
266,5/1/2015,1:09:29 PM,83,1,1,Dine in without Reservation,Morning,22,12,Completed
267,5/1/2015,1:37:50 PM,251,3,4,Dine in with Reservation,Morning,25,1,Completed
268,5/1/2015,1:40:46 PM,153,2,2,Dine in with Reservation,Morning,25,18,Completed
269,5/1/2015,1:49:34 PM,84,,,Take away,Morning,6,1,Completed
270,5/1/2015,2:09:02 PM,311,3,5,Dine in without Reservation,Morning,22,12,Completed
271,5/1/2015,2:22:19 PM,1053,,,Take away,Morning,6,11,Completed
272,5/1/2015,2:24:05 PM,83,1,3,Dine in without Reservation,Morning,22,11,Completed
273,5/1/2015,2:28:00 PM,63,,,Take away,Morning,7,11,Completed
274,5/1/2015,2:36:33 PM,194,2,1,Dine in with Reservation,Morning,25,11,Completed
275,5/1/2015,2:38:14 PM,325,4,7,Dine in with Reservation,Morning,22,17,Completed
276,5/1/2015,3:18:18 PM,196,2,2,Dine in with Reservation,Morning,25,18,Completed
277,5/1/2015,3:41:50 PM,74,,,Take away,Morning,6,11,Completed
278,5/1/2015,3:49:21 PM,188,2,3,Dine in without Reservation,Morning,22,12,Completed
279,5/1/2015,4:07:03 PM,168,,,Take away,Morning,6,12,Completed
280,5/1/2015,4:20:23 PM,163,2,3,Dine in with Reservation,Morning,22,11,Completed
281,5/1/2015,4:33:48 PM,61,,,Take away,Morning,7,11,Completed
282,5/1/2015,4:49:38 PM,360,,,Take away,Morning,6,18,Completed
283,5/1/2015,4:51:43 PM,80,1,1,Dine in with Reservation,Morning,22,17,Completed
284,5/1/2015,4:58:16 PM,206,,,Take away,Morning,7,12,Completed
285,5/1/2015,4:58:38 PM,104,1,2,Dine in with Reservation,Morning,22,12,Completed
286,5/1/2015,5:01:23 PM,186,2,3,Dine in with Reservation,Night,23,10,Completed
287,5/1/2015,5:30:09 PM,279,,,Take away,Night,8,10,Completed
288,5/1/2015,5:32:44 PM,276,,,Take away,Night,8,10,Completed
289,5/1/2015,5:36:23 PM,93,1,1,Dine in with Reservation,Night,24,10,Completed
290,5/1/2015,5:41:16 PM,140,,,Take away,Night,5,9,Completed
291,5/1/2015,5:44:39 PM,345,3,4,Dine in with Reservation,Night,23,10,Completed
292,5/1/2015,5:48:59 PM,184,2,2,Dine in without Reservation,Night,24,9,Completed
293,5/1/2015,5:58:38 PM,124,2,3,Dine in with Reservation,Night,23,9,Completed
294,5/1/2015,6:16:35 PM,291,,,Take away,Night,5,16,Completed
295,5/1/2015,6:20:12 PM,84,1,1,Dine in with Reservation,Night,24,16,Completed
296,5/1/2015,6:46:54 PM,204,3,5,Dine in with Reservation,Night,24,9,Completed
297,5/1/2015,7:02:18 PM,84,1,2,Dine in with Reservation,Night,24,16,Completed
298,5/1/2015,7:10:36 PM,291,,,Take away,Night,5,16,Completed
299,5/1/2015,7:34:31 PM,140,,,Take away,Night,8,10,Completed
300,5/1/2015,7:42:54 PM,246,4,6,Dine in without Reservation,Night,23,10,Completed
301,5/1/2015,7:45:58 PM,103,1,3,Dine in with Reservation,Night,23,10,Completed
302,5/1/2015,7:57:37 PM,104,,,Take away,Night,5,16,Completed
303,5/1/2015,8:02:51 PM,189,,,Take away,Night,5,2,Completed
304,5/1/2015,8:07:58 PM,154,2,1,Dine in without Reservation,Night,23,9,Completed
305,5/1/2015,8:35:40 PM,220,,,Take away,Night,8,10,Completed
306,5/1/2015,8:37:40 PM,193,3,4,Dine in with Reservation,Night,23,10,Completed
307,5/1/2015,9:45:38 PM,186,2,2,Dine in without Reservation,Night,24,2,Completed
308,5/1/2015,9:59:46 PM,234,,,Take away,Night,8,10,Completed
309,6/1/2015,11:39:06 AM,175,2,3,Dine in without Reservation,Morning,25,11,Completed
310,6/1/2015,11:40:48 AM,116,,,Take away,Morning,6,17,Completed
311,6/1/2015,11:57:27 AM,101,,,Take away,Morning,6,17,Completed
312,6/1/2015,12:05:21 PM,293,,,Take away,Morning,7,11,Completed
313,6/1/2015,12:09:09 PM,80,,,Take away,Morning,6,12,Completed
314,6/1/2015,12:11:58 PM,400,,,Take away,Morning,6,11,Completed
315,6/1/2015,12:17:40 PM,80,,,Take away,Morning,6,12,Completed
316,6/1/2015,12:29:34 PM,135,,,Take away,Morning,6,1,Completed
317,6/1/2015,12:31:00 PM,496,7,9,Dine in with Reservation,Morning,25,12,Completed
318,6/1/2015,12:45:14 PM,370,,,Take away,Morning,6,1,Completed
319,6/1/2015,12:46:22 PM,83,1,1,Dine in with Reservation,Morning,22,11,Completed
320,6/1/2015,12:46:40 PM,188,2,2,Dine in with Reservation,Morning,25,18,Completed
321,6/1/2015,12:56:21 PM,104,,,Take away,Morning,7,17,Completed
322,6/1/2015,1:02:13 PM,371,,,Take away,Morning,7,17,Completed
323,6/1/2015,1:05:33 PM,80,1,3,Dine in with Reservation,Morning,22,11,Completed
324,6/1/2015,1:06:44 PM,93,,,Take away,Morning,6,12,Completed
325,6/1/2015,1:07:32 PM,120,2,1,Dine in with Reservation,Morning,22,11,Completed
326,6/1/2015,1:10:13 PM,188,2,2,Dine in with Reservation,Morning,25,11,Completed
327,6/1/2015,1:10:54 PM,80,1,3,Dine in with Reservation,Morning,22,17,Completed
328,6/1/2015,1:16:35 PM,101,1,1,Dine in with Reservation,Morning,25,11,Completed
329,6/1/2015,1:22:44 PM,186,,,Take away,Morning,7,11,Completed
