Time_ID,Date,Employee_ID,In Time,Out Time
49,02/01/2015,20,10:37:00 AM,3:43:00 PM
50,02/01/2015,21,5:54:00 PM,10:25:00 PM
51,02/01/2015,22,11:04:00 AM,5:44:00 PM
52,02/01/2015,23,4:54:00 PM,11:04:00 PM
53,02/01/2015,24,5:51:00 PM,10:56:00 PM
54,02/01/2015,25,10:48:00 AM,4:22:00 PM
55,02/01/2015,26,10:00:00 AM,3:07:00 PM
56,02/01/2015,27,4:40:00 PM,10:41:00 PM
57,02/01/2015,28,11:08:00 AM,4:17:00 PM
58,02/01/2015,29,4:16:00 PM,10:27:00 PM
59,03/01/2015,1,11:17:00 AM,5:51:00 PM
60,03/01/2015,2,4:01:00 PM,10:29:00 PM
61,03/01/2015,3,11:28:00 AM,4:08:00 PM
62,03/01/2015,4,5:43:00 PM,11:34:00 PM
63,03/01/2015,5,5:41:00 PM,11:25:00 PM
64,03/01/2015,6,10:48:00 AM,5:04:00 PM
65,03/01/2015,7,11:08:00 AM,3:04:00 PM
66,03/01/2015,8,5:50:00 PM,11:49:00 PM
67,03/01/2015,9,5:45:00 PM,11:16:00 PM
68,03/01/2015,10,5:55:00 PM,10:04:00 PM
69,03/01/2015,11,10:03:00 AM,4:46:00 PM
70,03/01/2015,12,10:57:00 AM,4:44:00 PM
71,03/01/2015,13,4:07:00 PM,11:45:00 PM
72,03/01/2015,14,10:34:00 AM,5:08:00 PM
73,03/01/2015,15,11:06:00 AM,5:56:00 PM
74,03/01/2015,16,4:19:00 PM,10:39:00 PM
75,03/01/2015,17,11:22:00 AM,5:06:00 PM
76,03/01/2015,18,11:51:00 AM,3:23:00 PM
77,03/01/2015,19,4:52:00 PM,10:06:00 PM
78,03/01/2015,20,10:45:00 AM,4:08:00 PM
79,03/01/2015,21,5:26:00 PM,11:58:00 PM
80,03/01/2015,22,11:23:00 AM,3:23:00 PM
81,03/01/2015,23,5:36:00 PM,10:24:00 PM
82,03/01/2015,24,4:30:00 PM,11:53:00 PM
83,03/01/2015,25,11:25:00 AM,5:15:00 PM
84,03/01/2015,26,11:24:00 AM,4:12:00 PM
85,03/01/2015,27,5:35:00 PM,10:35:00 PM
86,03/01/2015,28,10:51:00 AM,3:27:00 PM
87,03/01/2015,29,5:26:00 PM,11:01:00 PM
88,04/01/2015,1,10:56:00 AM,5:06:00 PM
89,04/01/2015,2,5:52:00 PM,10:17:00 PM
90,04/01/2015,3,10:07:00 AM,4:32:00 PM
91,04/01/2015,4,4:45:00 PM,11:41:00 PM
92,04/01/2015,5,4:26:00 PM,10:25:00 PM
93,04/01/2015,6,11:02:00 AM,3:01:00 PM
94,04/01/2015,7,10:45:00 AM,5:16:00 PM
95,04/01/2015,8,4:18:00 PM,11:13:00 PM
96,04/01/2015,9,5:32:00 PM,10:47:00 PM
97,04/01/2015,10,5:07:00 PM,11:56:00 PM
98,04/01/2015,11,11:17:00 AM,4:43:00 PM
99,04/01/2015,12,11:13:00 AM,5:34:00 PM
100,04/01/2015,13,4:02:00 PM,11:04:00 PM
101,04/01/2015,14,11:29:00 AM,3:51:00 PM
102,04/01/2015,15,10:33:00 AM,5:49:00 PM
103,04/01/2015,16,5:58:00 PM,11:38:00 PM
104,04/01/2015,17,11:54:00 AM,3:21:00 PM
105,04/01/2015,18,10:24:00 AM,3:40:00 PM
106,04/01/2015,19,5:48:00 PM,11:24:00 PM
107,04/01/2015,20,11:56:00 AM,3:32:00 PM
108,04/01/2015,21,4:57:00 PM,11:48:00 PM
109,04/01/2015,22,10:34:00 AM,3:16:00 PM
110,04/01/2015,23,4:01:00 PM,11:33:00 PM
111,04/01/2015,24,4:09:00 PM,10:08:00 PM
112,04/01/2015,25,10:47:00 AM,4:10:00 PM
113,04/01/2015,26,11:42:00 AM,5:39:00 PM
114,04/01/2015,27,4:17:00 PM,11:22:00 PM
115,04/01/2015,28,11:26:00 AM,3:32:00 PM
116,04/01/2015,29,5:15:00 PM,10:54:00 PM
117,05/01/2015,1,10:41:00 AM,4:25:00 PM
118,05/01/2015,2,5:22:00 PM,10:08:00 PM
119,05/01/2015,3,10:47:00 AM,3:23:00 PM
120,05/01/2015,4,5:33:00 PM,11:01:00 PM
121,05/01/2015,5,4:26:00 PM,11:24:00 PM
122,05/01/2015,6,10:09:00 AM,3:38:00 PM
123,05/01/2015,7,11:42:00 AM,5:54:00 PM
124,05/01/2015,8,4:12:00 PM,11:43:00 PM
125,05/01/2015,9,5:23:00 PM,11:05:00 PM
126,05/01/2015,10,4:50:00 PM,10:36:00 PM
127,05/01/2015,11,10:20:00 AM,5:24:00 PM
128,05/01/2015,12,10:01:00 AM,5:24:00 PM
129,05/01/2015,13,5:14:00 PM,10:18:00 PM
130,05/01/2015,14,10:21:00 AM,3:57:00 PM
131,05/01/2015,15,11:21:00 AM,4:36:00 PM
132,05/01/2015,16,4:48:00 PM,10:38:00 PM
133,05/01/2015,17,11:15:00 AM,5:42:00 PM
134,05/01/2015,18,11:49:00 AM,5:05:00 PM
135,05/01/2015,19,4:10:00 PM,10:35:00 PM
136,05/01/2015,20,11:51:00 AM,3:27:00 PM
137,05/01/2015,21,4:47:00 PM,10:44:00 PM
138,05/01/2015,22,11:16:00 AM,3:29:00 PM
139,05/01/2015,23,4:22:00 PM,11:47:00 PM
140,05/01/2015,24,5:41:00 PM,11:50:00 PM
141,05/01/2015,25,10:31:00 AM,3:23:00 PM
142,05/01/2015,26,11:51:00 AM,5:30:00 PM
143,05/01/2015,27,5:31:00 PM,11:25:00 PM
144,05/01/2015,28,11:43:00 AM,3:32:00 PM
145,05/01/2015,29,5:18:00 PM,11:16:00 PM
146,06/01/2015,1,10:52:00 AM,3:24:00 PM
147,06/01/2015,2,5:04:00 PM,10:37:00 PM
148,06/01/2015,3,11:12:00 AM,5:56:00 PM
149,06/01/2015,4,4:35:00 PM,10:40:00 PM
150,06/01/2015,5,5:46:00 PM,10:14:00 PM
151,06/01/2015,6,10:29:00 AM,3:49:00 PM
152,06/01/2015,7,11:07:00 AM,4:21:00 PM
153,06/01/2015,8,5:27:00 PM,11:17:00 PM
154,06/01/2015,9,5:17:00 PM,10:16:00 PM
155,06/01/2015,10,4:13:00 PM,11:29:00 PM
156,06/01/2015,11,10:49:00 AM,3:28:00 PM
157,06/01/2015,12,11:28:00 AM,3:15:00 PM
158,06/01/2015,13,5:48:00 PM,10:31:00 PM
159,06/01/2015,14,10:44:00 AM,4:10:00 PM
160,06/01/2015,15,11:07:00 AM,4:50:00 PM
161,06/01/2015,16,5:12:00 PM,11:07:00 PM
162,06/01/2015,17,11:14:00 AM,3:46:00 PM
163,06/01/2015,18,10:41:00 AM,5:43:00 PM
164,06/01/2015,19,4:34:00 PM,10:43:00 PM
165,06/01/2015,20,11:15:00 AM,5:35:00 PM
166,06/01/2015,21,4:30:00 PM,11:30:00 PM
167,06/01/2015,22,10:05:00 AM,3:51:00 PM
168,06/01/2015,23,5:56:00 PM,11:12:00 PM
169,06/01/2015,24,5:18:00 PM,10:57:00 PM
170,06/01/2015,25,11:55:00 AM,3:30:00 PM
171,06/01/2015,26,10:51:00 AM,3:16:00 PM
172,06/01/2015,27,4:34:00 PM,10:53:00 PM
173,06/01/2015,28,11:50:00 AM,5:04:00 PM
174,06/01/2015,29,5:20:00 PM,11:58:00 PM
175,07/01/2015,1,10:00:00 AM,4:22:00 PM
176,07/01/2015,2,5:31:00 PM,11:02:00 PM
177,07/01/2015,3,10:00:00 AM,4:00:00 PM
178,07/01/2015,4,5:45:00 PM,11:43:00 PM
179,07/01/2015,5,4:57:00 PM,10:18:00 PM
180,07/01/2015,6,11:09:00 AM,4:53:00 PM
181,07/01/2015,7,10:39:00 AM,3:48:00 PM
182,07/01/2015,8,4:08:00 PM,10:47:00 PM
183,07/01/2015,9,5:42:00 PM,10:27:00 PM
184,07/01/2015,10,4:49:00 PM,10:30:00 PM
185,07/01/2015,11,10:42:00 AM,4:06:00 PM
186,07/01/2015,12,11:53:00 AM,4:04:00 PM
187,07/01/2015,13,4:56:00 PM,11:54:00 PM
188,07/01/2015,14,11:13:00 AM,4:06:00 PM
189,07/01/2015,15,10:43:00 AM,3:17:00 PM
190,07/01/2015,16,5:52:00 PM,11:12:00 PM
191,07/01/2015,17,10:45:00 AM,5:50:00 PM
192,07/01/2015,18,10:16:00 AM,5:48:00 PM
193,07/01/2015,19,5:38:00 PM,11:54:00 PM
194,07/01/2015,20,11:11:00 AM,3:18:00 PM
195,07/01/2015,21,4:47:00 PM,10:29:00 PM
196,07/01/2015,22,10:40:00 AM,5:28:00 PM
197,07/01/2015,23,4:56:00 PM,11:35:00 PM
198,07/01/2015,24,4:29:00 PM,10:11:00 PM
199,07/01/2015,25,10:43:00 AM,3:26:00 PM
200,07/01/2015,26,10:00:00 AM,3:51:00 PM
201,07/01/2015,27,5:06:00 PM,11:19:00 PM
202,07/01/2015,28,11:36:00 AM,3:22:00 PM
203,07/01/2015,29,5:24:00 PM,11:00:00 PM
204,08/01/2015,1,10:28:00 AM,3:49:00 PM
205,08/01/2015,2,5:58:00 PM,11:05:00 PM
206,08/01/2015,3,11:11:00 AM,4:13:00 PM
207,08/01/2015,4,5:36:00 PM,11:16:00 PM
208,08/01/2015,5,5:31:00 PM,11:58:00 PM
209,08/01/2015,6,10:56:00 AM,4:32:00 PM
210,08/01/2015,7,10:45:00 AM,4:57:00 PM
211,08/01/2015,8,5:39:00 PM,11:30:00 PM
212,08/01/2015,9,4:40:00 PM,10:29:00 PM
213,08/01/2015,10,4:11:00 PM,10:54:00 PM
214,08/01/2015,11,10:23:00 AM,3:58:00 PM
215,08/01/2015,12,11:22:00 AM,3:40:00 PM
216,08/01/2015,13,5:28:00 PM,10:53:00 PM
217,08/01/2015,14,10:18:00 AM,5:33:00 PM
218,08/01/2015,15,11:33:00 AM,5:13:00 PM
219,08/01/2015,16,4:30:00 PM,11:28:00 PM
220,08/01/2015,17,10:37:00 AM,5:56:00 PM
221,08/01/2015,18,10:46:00 AM,3:38:00 PM
222,08/01/2015,19,4:21:00 PM,10:07:00 PM
223,08/01/2015,20,11:02:00 AM,4:41:00 PM
224,08/01/2015,21,4:15:00 PM,11:54:00 PM
225,08/01/2015,22,10:00:00 AM,5:13:00 PM
226,08/01/2015,23,5:11:00 PM,10:52:00 PM
227,08/01/2015,24,5:32:00 PM,11:35:00 PM
228,08/01/2015,25,11:31:00 AM,4:12:00 PM
229,08/01/2015,26,11:24:00 AM,5:01:00 PM
230,08/01/2015,27,4:56:00 PM,11:25:00 PM
231,08/01/2015,28,11:00:00 AM,3:18:00 PM
232,08/01/2015,29,5:04:00 PM,10:16:00 PM
233,09/01/2015,1,10:49:00 AM,3:03:00 PM
234,09/01/2015,2,4:52:00 PM,11:42:00 PM
235,09/01/2015,3,10:33:00 AM,5:20:00 PM
236,09/01/2015,4,5:37:00 PM,11:59:00 PM
237,09/01/2015,5,4:16:00 PM,11:56:00 PM
238,09/01/2015,6,10:09:00 AM,5:55:00 PM
239,09/01/2015,7,10:49:00 AM,4:45:00 PM
240,09/01/2015,8,5:34:00 PM,11:20:00 PM
241,09/01/2015,9,5:52:00 PM,10:50:00 PM
242,09/01/2015,10,4:06:00 PM,11:26:00 PM
243,09/01/2015,11,11:07:00 AM,3:19:00 PM
244,09/01/2015,12,11:32:00 AM,5:56:00 PM
245,09/01/2015,13,5:03:00 PM,10:24:00 PM
246,09/01/2015,14,10:35:00 AM,4:29:00 PM
247,09/01/2015,15,10:27:00 AM,3:21:00 PM
248,09/01/2015,16,5:10:00 PM,11:29:00 PM
249,09/01/2015,17,11:52:00 AM,3:13:00 PM
250,09/01/2015,18,11:48:00 AM,4:16:00 PM
251,09/01/2015,19,4:29:00 PM,10:35:00 PM
252,09/01/2015,20,11:44:00 AM,4:46:00 PM
253,09/01/2015,21,5:41:00 PM,11:12:00 PM
254,09/01/2015,22,11:48:00 AM,4:02:00 PM
255,09/01/2015,23,5:03:00 PM,11:25:00 PM
256,09/01/2015,24,5:30:00 PM,11:37:00 PM
257,09/01/2015,25,10:17:00 AM,5:02:00 PM
258,09/01/2015,26,11:36:00 AM,4:42:00 PM
259,09/01/2015,27,5:04:00 PM,11:33:00 PM
260,09/01/2015,28,11:09:00 AM,3:20:00 PM
261,09/01/2015,29,5:38:00 PM,10:18:00 PM
262,10/01/2015,1,11:32:00 AM,3:14:00 PM
263,10/01/2015,2,4:33:00 PM,10:34:00 PM
264,10/01/2015,3,10:16:00 AM,5:17:00 PM
265,10/01/2015,4,5:58:00 PM,10:57:00 PM
266,10/01/2015,5,4:00:00 PM,10:50:00 PM
267,10/01/2015,6,11:20:00 AM,5:46:00 PM
268,10/01/2015,7,11:39:00 AM,4:06:00 PM
269,10/01/2015,8,5:40:00 PM,10:34:00 PM
270,10/01/2015,9,4:40:00 PM,11:52:00 PM
271,10/01/2015,10,4:42:00 PM,11:58:00 PM
272,10/01/2015,11,11:13:00 AM,3:31:00 PM
273,10/01/2015,12,10:25:00 AM,3:08:00 PM
274,10/01/2015,13,4:07:00 PM,10:32:00 PM
275,10/01/2015,14,10:30:00 AM,3:02:00 PM
276,10/01/2015,15,10:24:00 AM,4:35:00 PM
277,10/01/2015,16,4:58:00 PM,11:26:00 PM
278,10/01/2015,17,10:27:00 AM,4:50:00 PM
279,10/01/2015,18,10:16:00 AM,4:22:00 PM
280,10/01/2015,19,5:14:00 PM,10:55:00 PM
281,10/01/2015,20,11:59:00 AM,4:08:00 PM
282,10/01/2015,21,4:51:00 PM,10:46:00 PM
283,10/01/2015,22,10:52:00 AM,5:41:00 PM
284,10/01/2015,23,5:52:00 PM,11:22:00 PM
285,10/01/2015,24,4:52:00 PM,11:18:00 PM
286,10/01/2015,25,11:55:00 AM,5:18:00 PM
287,10/01/2015,26,11:46:00 AM,4:46:00 PM
288,10/01/2015,27,5:37:00 PM,11:26:00 PM
289,10/01/2015,28,10:34:00 AM,3:27:00 PM
290,10/01/2015,29,4:52:00 PM,10:32:00 PM
291,11/01/2015,1,11:03:00 AM,5:06:00 PM
292,11/01/2015,2,4:14:00 PM,11:56:00 PM
293,11/01/2015,3,11:07:00 AM,3:22:00 PM
294,11/01/2015,4,5:55:00 PM,11:49:00 PM
295,11/01/2015,5,4:56:00 PM,11:38:00 PM
296,11/01/2015,6,10:39:00 AM,4:41:00 PM
297,11/01/2015,7,10:58:00 AM,4:28:00 PM
298,11/01/2015,8,5:16:00 PM,11:39:00 PM
299,11/01/2015,9,4:35:00 PM,10:15:00 PM
300,11/01/2015,10,4:56:00 PM,10:21:00 PM
301,11/01/2015,11,11:35:00 AM,5:27:00 PM
302,11/01/2015,12,10:14:00 AM,5:04:00 PM
303,11/01/2015,13,4:12:00 PM,11:22:00 PM
304,11/01/2015,14,10:15:00 AM,3:09:00 PM
305,11/01/2015,15,10:00:00 AM,5:39:00 PM
306,11/01/2015,16,4:16:00 PM,11:51:00 PM
307,11/01/2015,17,10:03:00 AM,3:55:00 PM
308,11/01/2015,18,11:27:00 AM,5:18:00 PM
309,11/01/2015,19,5:03:00 PM,11:25:00 PM
310,11/01/2015,20,10:35:00 AM,4:41:00 PM
311,11/01/2015,21,5:33:00 PM,10:17:00 PM
312,11/01/2015,22,11:51:00 AM,5:25:00 PM
313,11/01/2015,23,4:26:00 PM,11:18:00 PM
314,11/01/2015,24,5:08:00 PM,11:26:00 PM
315,11/01/2015,25,10:15:00 AM,4:26:00 PM
316,11/01/2015,26,10:45:00 AM,4:02:00 PM
317,11/01/2015,27,4:38:00 PM,10:43:00 PM
318,11/01/2015,28,11:49:00 AM,5:27:00 PM
319,11/01/2015,29,5:58:00 PM,11:35:00 PM
320,12/01/2015,1,11:07:00 AM,5:56:00 PM
321,12/01/2015,2,5:30:00 PM,10:41:00 PM
322,12/01/2015,3,11:47:00 AM,4:59:00 PM
323,12/01/2015,4,4:36:00 PM,11:51:00 PM
324,12/01/2015,5,5:59:00 PM,10:58:00 PM
325,12/01/2015,6,11:38:00 AM,3:05:00 PM
326,12/01/2015,7,10:33:00 AM,3:19:00 PM
327,12/01/2015,8,4:35:00 PM,11:08:00 PM
328,12/01/2015,9,5:27:00 PM,10:08:00 PM
329,12/01/2015,10,4:34:00 PM,10:01:00 PM
330,12/01/2015,11,11:56:00 AM,4:47:00 PM
331,12/01/2015,12,10:48:00 AM,4:17:00 PM
332,12/01/2015,13,5:07:00 PM,10:04:00 PM
333,12/01/2015,14,10:27:00 AM,3:10:00 PM
334,12/01/2015,15,10:56:00 AM,4:35:00 PM
335,12/01/2015,16,5:38:00 PM,11:19:00 PM
336,12/01/2015,17,10:26:00 AM,3:58:00 PM
337,12/01/2015,18,11:41:00 AM,3:21:00 PM
338,12/01/2015,19,4:34:00 PM,11:40:00 PM
339,12/01/2015,20,11:04:00 AM,5:03:00 PM
340,12/01/2015,21,5:17:00 PM,11:36:00 PM
341,12/01/2015,22,10:43:00 AM,4:10:00 PM
342,12/01/2015,23,5:16:00 PM,11:46:00 PM
343,12/01/2015,24,5:03:00 PM,11:58:00 PM
344,12/01/2015,25,11:36:00 AM,5:36:00 PM
345,12/01/2015,26,11:11:00 AM,4:42:00 PM
346,12/01/2015,27,4:05:00 PM,10:54:00 PM
347,12/01/2015,28,11:25:00 AM,4:17:00 PM
348,12/01/2015,29,5:16:00 PM,11:06:00 PM
349,13/01/2015,1,11:50:00 AM,3:31:00 PM
350,13/01/2015,2,5:18:00 PM,10:15:00 PM
351,13/01/2015,3,10:10:00 AM,3:10:00 PM
352,13/01/2015,4,4:00:00 PM,11:09:00 PM
353,13/01/2015,5,4:47:00 PM,11:01:00 PM
354,13/01/2015,6,11:10:00 AM,4:47:00 PM
355,13/01/2015,7,10:14:00 AM,4:43:00 PM
356,13/01/2015,8,5:44:00 PM,10:17:00 PM
357,13/01/2015,9,5:56:00 PM,10:33:00 PM
358,13/01/2015,10,4:46:00 PM,10:01:00 PM
359,13/01/2015,11,10:18:00 AM,4:31:00 PM
360,13/01/2015,12,11:16:00 AM,4:11:00 PM
361,13/01/2015,13,4:54:00 PM,11:15:00 PM
362,13/01/2015,14,10:46:00 AM,5:24:00 PM
363,13/01/2015,15,11:38:00 AM,3:24:00 PM
364,13/01/2015,16,5:29:00 PM,10:33:00 PM
365,13/01/2015,17,10:49:00 AM,4:55:00 PM
366,13/01/2015,18,10:04:00 AM,3:58:00 PM
367,13/01/2015,19,4:52:00 PM,11:10:00 PM
368,13/01/2015,20,11:25:00 AM,5:28:00 PM
369,13/01/2015,21,5:17:00 PM,11:05:00 PM
370,13/01/2015,22,11:25:00 AM,3:38:00 PM
371,13/01/2015,23,4:39:00 PM,11:24:00 PM
372,13/01/2015,24,5:10:00 PM,11:50:00 PM
373,13/01/2015,25,10:01:00 AM,3:40:00 PM
374,13/01/2015,26,11:32:00 AM,4:52:00 PM
375,13/01/2015,27,5:43:00 PM,10:48:00 PM
376,13/01/2015,28,10:27:00 AM,4:13:00 PM
377,13/01/2015,29,5:11:00 PM,11:08:00 PM
378,14/01/2015,1,10:45:00 AM,4:33:00 PM
379,14/01/2015,2,5:47:00 PM,10:48:00 PM
380,14/01/2015,3,10:14:00 AM,3:31:00 PM
381,14/01/2015,4,4:37:00 PM,10:41:00 PM
382,14/01/2015,5,5:06:00 PM,11:12:00 PM
383,14/01/2015,6,10:35:00 AM,3:49:00 PM
384,14/01/2015,7,11:02:00 AM,4:30:00 PM
385,14/01/2015,8,4:01:00 PM,11:15:00 PM
386,14/01/2015,9,5:20:00 PM,10:52:00 PM
387,14/01/2015,10,5:27:00 PM,11:01:00 PM
388,14/01/2015,11,11:08:00 AM,5:46:00 PM
389,14/01/2015,12,11:34:00 AM,4:00:00 PM
390,14/01/2015,13,4:02:00 PM,10:52:00 PM
391,14/01/2015,14,10:38:00 AM,3:44:00 PM
392,14/01/2015,15,10:04:00 AM,3:02:00 PM
393,14/01/2015,16,5:45:00 PM,10:29:00 PM
394,14/01/2015,17,11:54:00 AM,3:42:00 PM
395,14/01/2015,18,11:52:00 AM,3:06:00 PM
396,14/01/2015,19,5:31:00 PM,11:03:00 PM
397,14/01/2015,20,10:09:00 AM,5:51:00 PM
398,14/01/2015,21,5:47:00 PM,11:26:00 PM
399,14/01/2015,22,10:09:00 AM,4:49:00 PM
400,14/01/2015,23,5:11:00 PM,10:43:00 PM
401,14/01/2015,24,5:01:00 PM,10:53:00 PM
402,14/01/2015,25,10:54:00 AM,5:05:00 PM
403,14/01/2015,26,11:01:00 AM,3:55:00 PM
404,14/01/2015,27,5:51:00 PM,10:02:00 PM
405,14/01/2015,28,11:47:00 AM,5:16:00 PM
406,14/01/2015,29,5:22:00 PM,10:14:00 PM
407,15/01/2015,1,10:29:00 AM,5:43:00 PM
408,15/01/2015,2,5:18:00 PM,10:01:00 PM
409,15/01/2015,3,11:38:00 AM,5:04:00 PM
410,15/01/2015,4,4:27:00 PM,11:09:00 PM
411,15/01/2015,5,5:24:00 PM,10:07:00 PM
412,15/01/2015,6,11:49:00 AM,3:35:00 PM
413,15/01/2015,7,10:09:00 AM,3:36:00 PM
414,15/01/2015,8,4:57:00 PM,10:11:00 PM
415,15/01/2015,9,5:32:00 PM,11:18:00 PM
416,15/01/2015,10,4:24:00 PM,10:13:00 PM
417,15/01/2015,11,10:39:00 AM,5:35:00 PM
418,15/01/2015,12,11:25:00 AM,5:48:00 PM
419,15/01/2015,13,5:35:00 PM,10:52:00 PM
420,15/01/2015,14,11:16:00 AM,4:25:00 PM
421,15/01/2015,15,11:52:00 AM,3:05:00 PM
422,15/01/2015,16,4:46:00 PM,10:10:00 PM
423,15/01/2015,17,10:33:00 AM,3:23:00 PM
424,15/01/2015,18,10:40:00 AM,3:19:00 PM
425,15/01/2015,19,4:38:00 PM,11:52:00 PM
426,15/01/2015,20,11:08:00 AM,3:03:00 PM
427,15/01/2015,21,5:14:00 PM,11:22:00 PM
428,15/01/2015,22,11:06:00 AM,3:06:00 PM
429,15/01/2015,23,5:38:00 PM,11:46:00 PM
430,15/01/2015,24,5:04:00 PM,11:10:00 PM
431,15/01/2015,25,10:23:00 AM,5:13:00 PM
432,15/01/2015,26,11:52:00 AM,4:24:00 PM
433,15/01/2015,27,4:48:00 PM,11:57:00 PM
434,15/01/2015,28,10:04:00 AM,3:23:00 PM
435,15/01/2015,29,4:17:00 PM,10:16:00 PM
436,16/01/2015,1,11:32:00 AM,3:50:00 PM
437,16/01/2015,2,5:25:00 PM,10:26:00 PM
438,16/01/2015,3,11:07:00 AM,3:49:00 PM
439,16/01/2015,4,5:18:00 PM,11:32:00 PM
440,16/01/2015,5,5:38:00 PM,11:57:00 PM
441,16/01/2015,6,11:56:00 AM,5:14:00 PM
442,16/01/2015,7,11:07:00 AM,5:26:00 PM
443,16/01/2015,8,5:21:00 PM,10:38:00 PM
444,16/01/2015,9,4:10:00 PM,10:25:00 PM
445,16/01/2015,10,4:06:00 PM,11:09:00 PM
446,16/01/2015,11,11:48:00 AM,3:31:00 PM
447,16/01/2015,12,11:53:00 AM,4:15:00 PM
448,16/01/2015,13,5:29:00 PM,10:16:00 PM
449,16/01/2015,14,10:29:00 AM,5:18:00 PM
450,16/01/2015,15,10:52:00 AM,5:48:00 PM
451,16/01/2015,16,5:50:00 PM,11:27:00 PM
452,16/01/2015,17,10:41:00 AM,3:55:00 PM
453,16/01/2015,18,11:05:00 AM,4:53:00 PM
454,16/01/2015,19,5:05:00 PM,11:26:00 PM
455,16/01/2015,20,10:24:00 AM,4:04:00 PM
456,16/01/2015,21,5:43:00 PM,10:49:00 PM
457,16/01/2015,22,11:19:00 AM,5:50:00 PM
458,16/01/2015,23,4:25:00 PM,10:57:00 PM
459,16/01/2015,24,5:47:00 PM,10:53:00 PM
460,16/01/2015,25,11:32:00 AM,4:28:00 PM
461,16/01/2015,26,11:35:00 AM,4:21:00 PM
462,16/01/2015,27,4:59:00 PM,11:54:00 PM
463,16/01/2015,28,11:34:00 AM,5:01:00 PM
464,16/01/2015,29,5:20:00 PM,10:57:00 PM
465,17/01/2015,1,10:36:00 AM,3:07:00 PM
466,17/01/2015,2,5:33:00 PM,10:22:00 PM
467,17/01/2015,3,11:26:00 AM,4:03:00 PM
468,17/01/2015,4,4:36:00 PM,11:08:00 PM
469,17/01/2015,5,5:34:00 PM,11:50:00 PM
470,17/01/2015,6,10:02:00 AM,5:15:00 PM
471,17/01/2015,7,10:52:00 AM,4:09:00 PM
472,17/01/2015,8,4:12:00 PM,10:32:00 PM
473,17/01/2015,9,5:52:00 PM,11:11:00 PM
474,17/01/2015,10,4:22:00 PM,10:55:00 PM
475,17/01/2015,11,11:12:00 AM,3:58:00 PM
476,17/01/2015,12,10:31:00 AM,5:42:00 PM
477,17/01/2015,13,4:41:00 PM,11:06:00 PM
478,17/01/2015,14,11:28:00 AM,3:16:00 PM
479,17/01/2015,15,10:23:00 AM,3:12:00 PM
480,17/01/2015,16,5:14:00 PM,11:20:00 PM
481,17/01/2015,17,11:22:00 AM,3:32:00 PM
