BOOKING_ID,RESERVATION_DATE,RESERVATION_TIME,ARRIVAL_TIME,PEOPLE,PURPOSE,STATUS_ORDER,TABLE_NUMBER
63,01/02/2015,9:00:00 PM,9:14:00 PM,4,Dinner with Friends,Ok,6
64,01/02/2015,9:30:00 PM,9:33:00 PM,4,Dinner with Friends,Ok,6
65,01/02/2015,10:00:00 PM,10:00:00 PM,3,Dinner with Friends,Ok,4
66,01/02/2015,10:00:00 PM,10:13:00 PM,3,Dinner with Friends,Ok,5
67,01/02/2015,10:15:00 PM,10:29:00 PM,1,Single Dinner,Ok,1
68,01/02/2015,10:30:00 PM,10:32:00 PM,2,Sweet Anniversary,Ok,2
69,01/03/2015,11:45:00 AM,11:57:00 AM,1,Single Dinner,Ok,3
70,01/03/2015,1:15:00 PM,1:16:00 PM,1,Single Dinner,Ok,2
71,01/03/2015,1:15:00 PM,,8,Birthday Celebration,Cancelled,9
72,01/03/2015,2:30:00 PM,2:32:00 PM,1,Single Dinner,Ok,3
73,01/03/2015,2:45:00 PM,2:49:00 PM,1,Single Dinner,Ok,1
74,01/03/2015,3:15:00 PM,3:22:00 PM,1,Single Dinner,Ok,2
75,01/03/2015,3:15:00 PM,3:28:00 PM,4,Dinner with Friends,Ok,7
76,01/03/2015,3:30:00 PM,3:43:00 PM,4,Dinner with Friends,Ok,6
77,01/03/2015,3:45:00 PM,3:54:00 PM,2,Sweet Anniversary,Ok,1
78,01/03/2015,3:45:00 PM,3:59:00 PM,2,Sweet Anniversary,Ok,2
79,01/03/2015,4:30:00 PM,4:35:00 PM,1,Single Dinner,Ok,3
80,01/03/2015,4:45:00 PM,4:51:00 PM,1,Single Dinner,Ok,1
81,01/03/2015,4:45:00 PM,4:56:00 PM,2,Sweet Anniversary,Ok,2
82,01/03/2015,4:45:00 PM,4:58:00 PM,1,Single Dinner,Ok,3
83,01/03/2015,5:15:00 PM,5:15:00 PM,3,Dinner with Friends,Ok,4
84,01/03/2015,5:15:00 PM,5:23:00 PM,1,Single Dinner,Ok,2
85,01/03/2015,5:15:00 PM,5:29:00 PM,3,Dinner with Friends,Ok,5
86,01/03/2015,5:30:00 PM,5:35:00 PM,3,Dinner with Friends,Ok,4
87,01/03/2015,5:30:00 PM,5:37:00 PM,4,Dinner with Friends,Ok,7
88,01/03/2015,5:45:00 PM,5:50:00 PM,1,Single Dinner,Ok,3
89,01/03/2015,5:45:00 PM,5:51:00 PM,2,Sweet Anniversary,Ok,1
90,01/03/2015,6:15:00 PM,6:20:00 PM,3,Dinner with Friends,Ok,5
91,01/03/2015,6:45:00 PM,6:54:00 PM,3,Dinner with Friends,Ok,4
92,01/03/2015,6:45:00 PM,6:59:00 PM,1,Single Dinner,Ok,2
93,01/03/2015,7:30:00 PM,7:36:00 PM,4,Dinner with Friends,Ok,6
94,01/03/2015,7:45:00 PM,,8,Birthday Celebration,Cancelled,9
95,01/03/2015,8:00:00 PM,8:08:00 PM,3,Dinner with Friends,Ok,5
96,01/03/2015,8:00:00 PM,8:12:00 PM,2,Sweet Anniversary,Ok,3
97,01/03/2015,8:30:00 PM,8:30:00 PM,2,Sweet Anniversary,Ok,1
98,01/03/2015,8:30:00 PM,,2,Sweet Anniversary,Cancelled,3
99,01/03/2015,8:45:00 PM,8:55:00 PM,3,Dinner with Friends,Ok,4
100,01/03/2015,9:15:00 PM,9:25:00 PM,1,Single Dinner,Ok,2
101,01/03/2015,9:30:00 PM,9:40:00 PM,3,Dinner with Friends,Ok,5
102,01/03/2015,9:45:00 PM,9:55:00 PM,2,Sweet Anniversary,Ok,3
103,01/03/2015,10:30:00 PM,,8,Birthday Celebration,Cancelled,9
104,01/03/2015,10:45:00 PM,10:50:00 PM,1,Single Dinner,Ok,1
105,01/04/2015,11:30:00 AM,11:30:00 AM,4,Dinner with Friends,Ok,7
106,01/04/2015,11:30:00 AM,11:36:00 AM,1,Single Dinner,Ok,2
107,01/04/2015,11:30:00 AM,11:43:00 AM,3,Dinner with Friends,Ok,4
108,01/04/2015,11:45:00 AM,11:45:00 AM,3,Dinner with Friends,Ok,5
109,01/04/2015,12:00:00 PM,12:03:00 PM,1,Single Dinner,Ok,3
110,01/04/2015,12:00:00 PM,12:12:00 PM,5,Dinner with Friends,Ok,8
111,01/04/2015,12:45:00 PM,12:54:00 PM,1,Single Dinner,Ok,1
112,01/04/2015,1:15:00 PM,1:20:00 PM,1,Single Dinner,Ok,2
113,01/04/2015,1:30:00 PM,1:39:00 PM,4,Dinner with Friends,Ok,6
114,01/04/2015,2:30:00 PM,2:35:00 PM,1,Single Dinner,Ok,1
115,01/04/2015,2:30:00 PM,2:35:00 PM,2,Sweet Anniversary,Ok,3
116,01/04/2015,3:30:00 PM,3:33:00 PM,3,Dinner with Friends,Ok,4
117,01/04/2015,3:45:00 PM,3:46:00 PM,2,Sweet Anniversary,Ok,2
118,01/04/2015,4:30:00 PM,4:39:00 PM,4,Dinner with Friends,Ok,7
119,01/04/2015,4:45:00 PM,4:59:00 PM,1,Single Dinner,Ok,3
120,01/04/2015,5:15:00 PM,5:24:00 PM,2,Sweet Anniversary,Ok,1
121,01/04/2015,5:30:00 PM,5:37:00 PM,3,Dinner with Friends,Ok,5
122,01/04/2015,5:45:00 PM,5:58:00 PM,1,Single Dinner,Ok,2
123,01/04/2015,6:00:00 PM,6:04:00 PM,3,Dinner with Friends,Ok,4
124,01/04/2015,6:15:00 PM,6:21:00 PM,2,Sweet Anniversary,Ok,3
125,01/04/2015,7:15:00 PM,7:27:00 PM,1,Single Dinner,Ok,1
126,01/04/2015,7:30:00 PM,,7,Birthday Celebration,Cancelled,9
127,01/04/2015,7:45:00 PM,7:45:00 PM,1,Single Dinner,Ok,2
128,01/04/2015,8:00:00 PM,8:10:00 PM,1,Single Dinner,Ok,3
129,01/04/2015,8:00:00 PM,8:11:00 PM,2,Sweet Anniversary,Ok,1
130,01/04/2015,8:15:00 PM,8:26:00 PM,2,Sweet Anniversary,Ok,2
131,01/04/2015,8:30:00 PM,8:30:00 PM,2,Sweet Anniversary,Ok,3
132,01/04/2015,9:00:00 PM,9:06:00 PM,2,Sweet Anniversary,Ok,1
133,01/04/2015,9:00:00 PM,9:07:00 PM,1,Single Dinner,Ok,2
134,01/04/2015,9:00:00 PM,,9,Important Date,Cancelled,10
135,01/04/2015,10:00:00 PM,10:13:00 PM,1,Single Dinner,Ok,3
136,01/04/2015,10:15:00 PM,10:16:00 PM,1,Single Dinner,Ok,1
137,01/04/2015,10:15:00 PM,10:22:00 PM,3,Dinner with Friends,Ok,5
138,01/04/2015,10:45:00 PM,,1,Single Dinner,Cancelled,1
139,01/05/2015,11:45:00 AM,11:56:00 AM,1,Single Dinner,Ok,2
140,01/05/2015,11:45:00 AM,11:59:00 AM,2,Sweet Anniversary,Ok,3
141,01/05/2015,12:00:00 PM,12:04:00 PM,1,Single Dinner,Ok,3
142,01/05/2015,12:00:00 PM,12:06:00 PM,2,Sweet Anniversary,Ok,1
143,01/05/2015,12:00:00 PM,,4,Dinner with Friends,Cancelled,7
144,01/05/2015,1:00:00 PM,1:03:00 PM,1,Single Dinner,Ok,3
145,01/05/2015,1:30:00 PM,1:37:00 PM,3,Dinner with Friends,Ok,4
146,01/05/2015,1:30:00 PM,1:40:00 PM,2,Sweet Anniversary,Ok,2
147,01/05/2015,2:30:00 PM,2:36:00 PM,2,Sweet Anniversary,Ok,1
148,01/05/2015,2:30:00 PM,2:38:00 PM,4,Dinner with Friends,Ok,7
149,01/05/2015,3:15:00 PM,3:18:00 PM,2,Sweet Anniversary,Ok,2
150,01/05/2015,4:15:00 PM,4:20:00 PM,2,Sweet Anniversary,Ok,3
151,01/05/2015,4:45:00 PM,4:51:00 PM,1,Single Dinner,Ok,1
152,01/05/2015,4:45:00 PM,4:58:00 PM,1,Single Dinner,Ok,2
153,01/05/2015,5:00:00 PM,5:01:00 PM,2,Sweet Anniversary,Ok,3
154,01/05/2015,5:30:00 PM,5:36:00 PM,1,Single Dinner,Ok,1
155,01/05/2015,5:30:00 PM,5:44:00 PM,3,Dinner with Friends,Ok,4
156,01/05/2015,5:45:00 PM,5:58:00 PM,2,Sweet Anniversary,Ok,3
157,01/05/2015,6:15:00 PM,6:20:00 PM,1,Single Dinner,Ok,1
158,01/05/2015,6:45:00 PM,6:46:00 PM,3,Dinner with Friends,Ok,5
159,01/05/2015,7:00:00 PM,7:02:00 PM,1,Single Dinner,Ok,2
160,01/05/2015,7:45:00 PM,7:45:00 PM,1,Single Dinner,Ok,3
161,01/05/2015,8:00:00 PM,,4,Dinner with Friends,Cancelled,6
162,01/05/2015,8:30:00 PM,8:37:00 PM,3,Dinner with Friends,Ok,4
163,01/05/2015,8:45:00 PM,,5,Dinner with Friends,Cancelled,8
164,01/06/2015,12:30:00 PM,12:31:00 PM,7,Birthday Celebration,Ok,9
165,01/06/2015,12:45:00 PM,12:46:00 PM,2,Sweet Anniversary,Ok,2
166,01/06/2015,12:45:00 PM,12:46:00 PM,1,Single Dinner,Ok,1
167,01/06/2015,1:00:00 PM,1:05:00 PM,1,Single Dinner,Ok,3
168,01/06/2015,1:00:00 PM,1:07:00 PM,2,Sweet Anniversary,Ok,1
169,01/06/2015,1:00:00 PM,1:10:00 PM,1,Single Dinner,Ok,3
170,01/06/2015,1:00:00 PM,1:10:00 PM,2,Sweet Anniversary,Ok,2
171,01/06/2015,1:15:00 PM,1:16:00 PM,1,Single Dinner,Ok,1
172,01/06/2015,1:15:00 PM,1:27:00 PM,14,Anniversary Celebration,Ok,11
173,01/06/2015,2:15:00 PM,2:16:00 PM,1,Single Dinner,Ok,3
174,01/06/2015,2:45:00 PM,2:51:00 PM,1,Single Dinner,Ok,1
175,01/06/2015,3:15:00 PM,3:18:00 PM,3,Dinner with Friends,Ok,4
176,01/06/2015,3:30:00 PM,3:35:00 PM,1,Single Dinner,Ok,2
177,01/06/2015,3:45:00 PM,3:45:00 PM,2,Sweet Anniversary,Ok,3
178,01/06/2015,4:00:00 PM,4:01:00 PM,2,Sweet Anniversary,Ok,2
179,01/06/2015,4:30:00 PM,4:30:00 PM,4,Dinner with Friends,Ok,7
180,01/06/2015,4:30:00 PM,4:37:00 PM,3,Dinner with Friends,Ok,5
181,01/06/2015,4:45:00 PM,4:49:00 PM,3,Dinner with Friends,Ok,4
182,01/06/2015,5:15:00 PM,5:25:00 PM,1,Single Dinner,Ok,3
183,01/06/2015,5:45:00 PM,5:59:00 PM,3,Dinner with Friends,Ok,5
184,01/06/2015,6:00:00 PM,6:14:00 PM,2,Sweet Anniversary,Ok,1
185,01/06/2015,6:15:00 PM,6:27:00 PM,3,Dinner with Friends,Ok,4
186,01/06/2015,6:30:00 PM,6:30:00 PM,1,Single Dinner,Ok,2
187,01/06/2015,6:45:00 PM,6:50:00 PM,3,Dinner with Friends,Ok,5
188,01/06/2015,7:00:00 PM,7:12:00 PM,2,Sweet Anniversary,Ok,3
189,01/06/2015,7:00:00 PM,7:13:00 PM,2,Sweet Anniversary,Ok,1
190,01/06/2015,7:15:00 PM,7:27:00 PM,2,Sweet Anniversary,Ok,2
191,01/06/2015,7:30:00 PM,7:37:00 PM,3,Dinner with Friends,Ok,4
192,01/06/2015,8:15:00 PM,8:28:00 PM,2,Sweet Anniversary,Ok,3
193,01/06/2015,10:15:00 PM,10:26:00 PM,1,Single Dinner,Ok,1
194,01/07/2015,11:45:00 AM,11:45:00 AM,3,Dinner with Friends,Ok,5
195,01/07/2015,12:00:00 PM,12:01:00 PM,2,Sweet Anniversary,Ok,3
196,01/07/2015,12:00:00 PM,12:03:00 PM,2,Sweet Anniversary,Ok,1
197,01/07/2015,12:15:00 PM,12:19:00 PM,1,Single Dinner,Ok,2
198,01/07/2015,12:15:00 PM,12:25:00 PM,1,Single Dinner,Ok,3
199,01/07/2015,12:30:00 PM,12:33:00 PM,1,Single Dinner,Ok,2
200,01/07/2015,12:30:00 PM,12:33:00 PM,2,Sweet Anniversary,Ok,3
201,01/07/2015,12:30:00 PM,12:43:00 PM,1,Single Dinner,Ok,1
202,01/07/2015,12:45:00 PM,12:51:00 PM,4,Dinner with Friends,Ok,6
203,01/07/2015,12:45:00 PM,12:58:00 PM,3,Dinner with Friends,Ok,4
204,01/07/2015,1:00:00 PM,1:03:00 PM,7,Birthday Celebration,Ok,9
205,01/07/2015,1:00:00 PM,1:04:00 PM,4,Dinner with Friends,Ok,7
206,01/07/2015,1:00:00 PM,1:10:00 PM,1,Single Dinner,Ok,2
207,01/07/2015,1:15:00 PM,1:25:00 PM,1,Single Dinner,Ok,3
208,01/07/2015,2:30:00 PM,2:31:00 PM,3,Dinner with Friends,Ok,5
209,01/07/2015,3:45:00 PM,3:47:00 PM,4,Dinner with Friends,Ok,6
210,01/07/2015,4:00:00 PM,4:03:00 PM,2,Sweet Anniversary,Ok,1
211,01/07/2015,4:00:00 PM,4:08:00 PM,1,Single Dinner,Ok,2
212,01/07/2015,4:30:00 PM,4:39:00 PM,1,Single Dinner,Ok,3
213,01/07/2015,4:45:00 PM,4:50:00 PM,3,Dinner with Friends,Ok,4
214,01/07/2015,4:45:00 PM,4:56:00 PM,3,Dinner with Friends,Ok,5
215,01/07/2015,5:00:00 PM,5:09:00 PM,2,Sweet Anniversary,Ok,1
216,01/07/2015,5:15:00 PM,5:15:00 PM,1,Single Dinner,Ok,2
217,01/07/2015,5:45:00 PM,5:58:00 PM,2,Sweet Anniversary,Ok,3
218,01/07/2015,6:00:00 PM,6:07:00 PM,2,Sweet Anniversary,Ok,1
219,01/07/2015,6:15:00 PM,6:24:00 PM,1,Single Dinner,Ok,3
220,01/07/2015,7:00:00 PM,7:02:00 PM,4,Dinner with Friends,Ok,7
221,01/07/2015,7:00:00 PM,7:04:00 PM,2,Sweet Anniversary,Ok,2
222,01/07/2015,7:30:00 PM,7:30:00 PM,3,Dinner with Friends,Ok,5
223,01/07/2015,7:45:00 PM,7:45:00 PM,2,Sweet Anniversary,Ok,3
224,01/07/2015,8:00:00 PM,8:01:00 PM,1,Single Dinner,Ok,1
225,01/07/2015,8:30:00 PM,,3,Dinner with Friends,Cancelled,5
226,01/07/2015,9:30:00 PM,,8,Birthday Celebration,Cancelled,9
227,01/07/2015,10:00:00 PM,10:05:00 PM,2,Sweet Anniversary,Ok,2
228,01/07/2015,10:15:00 PM,10:16:00 PM,1,Single Dinner,Ok,3
229,01/07/2015,10:45:00 PM,10:46:00 PM,2,Sweet Anniversary,Ok,1
230,01/08/2015,11:15:00 AM,11:17:00 AM,4,Dinner with Friends,Ok,6
231,01/08/2015,11:30:00 AM,11:39:00 AM,3,Dinner with Friends,Ok,4
232,01/08/2015,11:45:00 AM,11:54:00 AM,3,Dinner with Friends,Ok,5
233,01/08/2015,12:00:00 PM,12:07:00 PM,1,Single Dinner,Ok,2
234,01/08/2015,12:00:00 PM,,5,Dinner with Friends,Cancelled,8
235,01/08/2015,12:15:00 PM,12:16:00 PM,2,Sweet Anniversary,Ok,3
236,01/08/2015,12:15:00 PM,12:28:00 PM,1,Single Dinner,Ok,1
237,01/08/2015,12:30:00 PM,12:34:00 PM,14,Anniversary Celebration,Ok,11
238,01/08/2015,12:30:00 PM,12:40:00 PM,1,Single Dinner,Ok,2
239,01/08/2015,12:45:00 PM,12:58:00 PM,3,Dinner with Friends,Ok,4
240,01/08/2015,1:00:00 PM,1:03:00 PM,3,Dinner with Friends,Ok,5
241,01/08/2015,1:15:00 PM,1:24:00 PM,3,Dinner with Friends,Ok,4
242,01/08/2015,1:30:00 PM,1:31:00 PM,1,Single Dinner,Ok,3
243,01/08/2015,1:30:00 PM,,7,Birthday Celebration,Cancelled,9
244,01/08/2015,1:45:00 PM,1:47:00 PM,1,Single Dinner,Ok,1
245,01/08/2015,1:45:00 PM,1:59:00 PM,3,Dinner with Friends,Ok,5
246,01/08/2015,2:00:00 PM,2:00:00 PM,3,Dinner with Friends,Ok,4
247,01/08/2015,2:00:00 PM,2:14:00 PM,1,Single Dinner,Ok,2
248,01/08/2015,2:15:00 PM,2:19:00 PM,2,Sweet Anniversary,Ok,3
249,01/08/2015,2:15:00 PM,2:21:00 PM,2,Sweet Anniversary,Ok,1
250,01/08/2015,2:30:00 PM,2:38:00 PM,1,Single Dinner,Ok,2
251,01/08/2015,2:45:00 PM,2:55:00 PM,1,Single Dinner,Ok,3
252,01/08/2015,3:30:00 PM,3:33:00 PM,1,Single Dinner,Ok,1
253,01/08/2015,3:30:00 PM,3:36:00 PM,2,Sweet Anniversary,Ok,2
254,01/08/2015,3:30:00 PM,3:37:00 PM,2,Sweet Anniversary,Ok,3
255,01/08/2015,4:15:00 PM,4:29:00 PM,2,Sweet Anniversary,Ok,1
256,01/08/2015,4:45:00 PM,4:47:00 PM,2,Sweet Anniversary,Ok,2
257,01/08/2015,5:15:00 PM,5:15:00 PM,2,Sweet Anniversary,Ok,3
258,01/08/2015,5:30:00 PM,5:41:00 PM,2,Sweet Anniversary,Ok,2
259,01/08/2015,5:45:00 PM,5:52:00 PM,3,Dinner with Friends,Ok,5
260,01/08/2015,5:45:00 PM,5:54:00 PM,4,Dinner with Friends,Ok,6
261,01/08/2015,6:00:00 PM,6:02:00 PM,2,Sweet Anniversary,Ok,3
262,01/08/2015,6:15:00 PM,6:15:00 PM,1,Single Dinner,Ok,1
263,01/08/2015,6:30:00 PM,6:30:00 PM,3,Dinner with Friends,Ok,4
264,01/08/2015,7:00:00 PM,7:01:00 PM,4,Dinner with Friends,Ok,7
265,01/08/2015,7:30:00 PM,7:38:00 PM,4,Dinner with Friends,Ok,6
266,01/08/2015,7:45:00 PM,7:46:00 PM,2,Sweet Anniversary,Ok,2
267,01/08/2015,7:45:00 PM,7:49:00 PM,1,Single Dinner,Ok,3
268,01/08/2015,9:00:00 PM,9:10:00 PM,4,Dinner with Friends,Ok,7
269,01/08/2015,9:45:00 PM,9:46:00 PM,1,Single Dinner,Ok,1
270,01/09/2015,11:15:00 AM,11:16:00 AM,2,Sweet Anniversary,Ok,2
271,01/09/2015,12:00:00 PM,12:13:00 PM,3,Dinner with Friends,Ok,5
272,01/09/2015,12:15:00 PM,12:18:00 PM,1,Single Dinner,Ok,3
273,01/09/2015,12:15:00 PM,12:22:00 PM,4,Dinner with Friends,Ok,6
274,01/09/2015,1:00:00 PM,1:07:00 PM,2,Sweet Anniversary,Ok,1
275,01/09/2015,2:00:00 PM,2:09:00 PM,11,Business Dinner,Ok,11
276,01/09/2015,3:00:00 PM,3:08:00 PM,1,Single Dinner,Ok,3
277,01/09/2015,3:15:00 PM,3:27:00 PM,1,Single Dinner,Ok,1
278,01/09/2015,3:30:00 PM,3:31:00 PM,3,Dinner with Friends,Ok,4
279,01/09/2015,3:30:00 PM,3:43:00 PM,2,Sweet Anniversary,Ok,2
280,01/09/2015,5:15:00 PM,5:18:00 PM,2,Sweet Anniversary,Ok,2
281,01/09/2015,5:30:00 PM,5:44:00 PM,1,Single Dinner,Ok,3
282,01/09/2015,5:45:00 PM,5:51:00 PM,3,Dinner with Friends,Ok,5
283,01/09/2015,5:45:00 PM,5:52:00 PM,1,Single Dinner,Ok,1
284,01/09/2015,6:15:00 PM,6:23:00 PM,3,Dinner with Friends,Ok,4
285,01/09/2015,6:45:00 PM,6:46:00 PM,4,Dinner with Friends,Ok,7
286,01/09/2015,6:45:00 PM,6:49:00 PM,1,Single Dinner,Ok,2
287,01/09/2015,7:00:00 PM,7:12:00 PM,2,Sweet Anniversary,Ok,3
288,01/09/2015,7:30:00 PM,7:31:00 PM,3,Dinner with Friends,Ok,5
289,01/09/2015,8:15:00 PM,8:18:00 PM,2,Sweet Anniversary,Ok,3
290,01/09/2015,8:15:00 PM,8:23:00 PM,2,Sweet Anniversary,Ok,1
291,01/09/2015,8:30:00 PM,8:30:00 PM,2,Sweet Anniversary,Ok,2
292,01/09/2015,8:45:00 PM,8:51:00 PM,1,Single Dinner,Ok,3
293,01/09/2015,9:00:00 PM,9:10:00 PM,1,Single Dinner,Ok,1
294,01/09/2015,9:45:00 PM,9:47:00 PM,1,Single Dinner,Ok,3
295,01/10/2015,11:30:00 AM,,7,Birthday Celebration,Cancelled,9
296,01/10/2015,11:45:00 AM,,10,Important Date,Cancelled,10
297,01/10/2015,12:15:00 PM,12:28:00 PM,1,Single Dinner,Ok,2
298,01/10/2015,12:30:00 PM,12:37:00 PM,3,Dinner with Friends,Ok,4
299,01/10/2015,12:30:00 PM,,8,Birthday Celebration,Cancelled,9
300,01/10/2015,1:00:00 PM,1:14:00 PM,1,Single Dinner,Ok,3
301,01/10/2015,1:15:00 PM,1:15:00 PM,1,Single Dinner,Ok,1
302,01/10/2015,1:15:00 PM,,7,Birthday Celebration,Cancelled,9
303,01/10/2015,1:15:00 PM,,9,Important Date,Cancelled,10
304,01/10/2015,1:45:00 PM,1:45:00 PM,2,Sweet Anniversary,Ok,2
305,01/10/2015,1:45:00 PM,1:56:00 PM,2,Sweet Anniversary,Ok,1
306,01/10/2015,2:00:00 PM,2:13:00 PM,1,Single Dinner,Ok,2
307,01/10/2015,2:30:00 PM,2:33:00 PM,1,Single Dinner,Ok,3
308,01/10/2015,2:30:00 PM,,4,Dinner with Friends,Cancelled,7
309,01/10/2015,3:00:00 PM,3:05:00 PM,2,Sweet Anniversary,Ok,1
310,01/10/2015,3:30:00 PM,,10,Important Date,Cancelled,10
311,01/10/2015,4:00:00 PM,4:09:00 PM,2,Sweet Anniversary,Ok,2
312,01/10/2015,4:30:00 PM,4:32:00 PM,2,Sweet Anniversary,Ok,3
313,01/10/2015,4:30:00 PM,4:33:00 PM,1,Single Dinner,Ok,1
314,01/10/2015,5:00:00 PM,5:12:00 PM,3,Dinner with Friends,Ok,4
315,01/10/2015,5:15:00 PM,5:23:00 PM,1,Single Dinner,Ok,2
316,01/10/2015,5:30:00 PM,5:32:00 PM,3,Dinner with Friends,Ok,5
317,01/10/2015,6:30:00 PM,6:32:00 PM,3,Dinner with Friends,Ok,4
318,01/10/2015,6:30:00 PM,6:34:00 PM,1,Single Dinner,Ok,2
319,01/10/2015,7:00:00 PM,7:13:00 PM,2,Sweet Anniversary,Ok,3
320,01/10/2015,7:30:00 PM,7:36:00 PM,3,Dinner with Friends,Ok,5
321,01/10/2015,7:30:00 PM,7:36:00 PM,4,Dinner with Friends,Ok,6
